domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com,189916087,281220980,63924451,1.480764397,98.94305339,192451924
ncbi.nlm.nih.gov,129932356,356709573,65879466,2.745348303,233.8145273,129930083
forecast.weather.gov,51092958,83162027,11882401,1.627661233,103.6727332,52363718
medlineplus.gov,42684120,55833870,31886071,1.308071245,65.98239774,42657977
reg.usps.com,37752253,56551088,13472555,1.497952665,54.5197204,34176394
usps.com,37536292,50632620,19570611,1.348897755,64.3502602,32926093
irs.gov,30676689,91517444,18603334,2.983289494,176.7485278,30524380
cdc.gov,25973286,48834461,19783163,1.880180313,107.3764835,25933504
informeddelivery.usps.com,21744998,46572554,6466326,2.141759406,57.96022051,24388815
weather.gov,21011867,50403020,7972370,2.398788266,199.7617104,19672909
ssa.gov,17923625,46672578,10611641,2.603969788,202.0368426,18269162
usajobs.gov,15325273,137093168,7190364,8.945561231,387.5027873,14812650
travel.state.gov,14135215,37643136,8595247,2.663074881,194.9786849,13804453
m.usps.com,12558699,29307042,4562460,2.333604938,168.5391492,12255217
uscis.gov,11926729,24753675,5604756,2.075478952,162.8680123,11383417
nps.gov,11484578,33257991,7796191,2.895882722,171.6081701,11468665
secure.login.gov,11302716,31824692,4853439,2.815667668,838.0029012,11085618
egov.uscis.gov,9793262,36237116,2640407,3.70020898,197.6923206,10266103
va.gov,8071258,22736145,3714529,2.816927052,161.736929,7576821
nasa.gov,7455200,14526218,5587706,1.948467915,106.8730049,7343810
fda.gov,7269929,13269097,5699097,1.825203107,98.69668026,7135805
ceac.state.gov,6900522,131259948,2105051,19.02174183,1015.169612,7206277
myhealth.va.gov,6174211,38513799,2306236,6.2378495,269.007171,6281055
earthquake.usgs.gov,6002579,9738704,2422173,1.622419963,96.23385165,6011672
esta.cbp.dhs.gov,5639992,10945812,2956392,1.940749561,208.5157021,5641128
dhs.gov,5419484,7621149,5039847,1.406249931,37.65666953,5413801
healthcare.gov,5284224,15889045,3650877,3.006883319,150.2809272,5284224
studentaid.gov,4860259,9820541,3571313,2.020579767,272.5680387,4847756
tsa.gov,4820476,8645259,3904347,1.793445087,99.35157711,4817067
opm.gov,4771601,13275917,3087105,2.782277269,153.2737035,4762508
store.usps.com,4605652,17982730,2831362,3.904491698,93.90498696,4886401
medicare.gov,4565870,27138339,2741568,5.943738871,414.1881825,4569280
cancer.gov,4320356,5861636,3658834,1.356748379,62.01289523,4313536
usa.gov,4283984,6685697,3712256,1.560626043,109.4990686,4269208
cns.usps.com,4236245,14105662,1703818,3.329755951,169.3847658,6202627
justice.gov,4177140,7059651,3124614,1.690068085,79.07945652,4180550
nhlbi.nih.gov,4168047,12027890,3343985,2.885737613,50.31524333,4195326
cbp.gov,4018011,8464534,3042777,2.106647792,101.393491,4008918
clinicaltrials.gov,3994142,12712145,2649500,3.18269731,245.0938807,3994142
sa.www4.irs.gov,3749765,26672318,2922293,7.113063885,249.739593,4005508
ttp.cbp.dhs.gov,3447419,5721829,1401473,1.659742839,165.2980668,3456512
pubchem.ncbi.nlm.nih.gov,3404227,6748212,2373298,1.982303765,214.1442436,3166670
sec.gov,3337165,28473887,1660626,8.532358154,323.0341068,3345122
cms.gov,3253054,10532076,1975475,3.237596425,190.4364296,3241688
faq.usps.com,3246235,4261251,2817722,1.312674837,63.66980887,3212135
aviationweather.gov,3226912,25344726,889987,7.854173278,4293.956302,3226912
holdmail.usps.com,3085969,5707053,1668583,1.849355259,115.2478732,3041640
search.usa.gov,3075739,7219917,2255087,2.347376354,93.39837483,3041640
water.weather.gov,2933659,5135325,794509,1.750484634,97.34600443,2959802
epa.gov,2855232,5891188,2191436,2.063295732,144.4896247,2773394
bls.gov,2785897,7267655,1717458,2.608730689,130.9440887,2788170
defense.gov,2784760,4670440,1302586,1.677142734,142.1244912,2776804
about.usps.com,2735885,5188747,2017530,1.896551573,126.2492565,2768847
nhtsa.gov,2573346,4158954,1980021,1.616165879,87.0127954,2573346
universalenroll.dhs.gov,2572209,11533453,1245754,4.483870867,1873.910263,2577892
census.gov,2568799,6997136,1866358,2.723893929,141.3840733,2572209
apps.irs.gov,2567662,17392815,1789066,6.773794604,288.6649419,2375571
niddk.nih.gov,2543793,3819099,2265317,1.501340321,64.83378089,2561979
drugabuse.gov,2525607,3986185,2131194,1.57830771,99.22456661,2530153
uspto.gov,2490371,6070777,954775,2.437699845,186.1926143,2413080
osha.gov,2460819,7107390,1619707,2.88822136,186.9574719,2472185
pubmed.ncbi.nlm.nih.gov,2442632,14037464,672889,5.746859945,412.3788426,2592668
nhc.noaa.gov,2413080,3280334,658113,1.359397119,18.28638586,2413080
usgs.gov,2383527,3962316,1912960,1.662375127,91.88985231,2316466
mobile.weather.gov,2347155,3894117,439878,1.659079609,70.42711495,2346018
postcalc.usps.com,2301689,13693063,1728824,5.949136916,189.7620091,2704059
ghr.nlm.nih.gov,2238038,3438326,1937966,1.53631261,123.8958726,2202802
petitions.whitehouse.gov,2232355,3562220,1201425,1.595722902,63.40120993,2232355
fs.usda.gov,2181206,5908238,1600385,2.708702433,152.1818595,2177796
mymedicare.gov,2177796,3830466,1185512,1.758872732,144.1732779,2188026
faa.gov,2169840,6042361,1465125,2.78470348,173.1628765,2164156
